movie_title,url,rating,rating_count,genre,content_rating
The Offer,https://www.imdb.com/title/tt13111040/,8.6,44455,"Biography, Crime, Drama",TV-MA
Gomorrah,https://www.imdb.com/title/tt2049116/,8.6,46802,"Crime, Drama, Thriller",TV-MA
Hajime no Ippo,https://www.imdb.com/title/tt0481256/,8.8,12810,"Animation, Action, Comedy",TV-PG
Scavengers Reign,https://www.imdb.com/title/tt21056886/,8.6,26966,"Animation, Adventure, Drama",TV-MA
Pose,https://www.imdb.com/title/tt7562112/,8.6,34647,Drama,TV-MA
Yes Minister,https://www.imdb.com/title/tt0080306/,8.6,17728,Comedy,TV-PG
Blackadder the Third,https://www.imdb.com/title/tt0092324/,8.6,48705,Comedy,TV-PG
Greatest Events of WWII in Colour,https://www.imdb.com/title/tt9103932/,8.6,12235,"Documentary, History, War",N/A
Mystery Science Theater 3000,https://www.imdb.com/title/tt0094517/,8.6,26857,"Comedy, Sci-Fi",TV-14
Anne with an E,https://www.imdb.com/title/tt5421602/,8.6,72058,"Drama, Family",TV-PG
Archer,https://www.imdb.com/title/tt1486217/,8.6,170297,"Animation, Action, Comedy",TV-MA
The Newsroom,https://www.imdb.com/title/tt1870479/,8.6,128880,Drama,TV-MA
Dopesick,https://www.imdb.com/title/tt9174558/,8.6,84329,Drama,TV-MA
Critical Role,https://www.imdb.com/title/tt4834232/,9.0,14230,"Adventure, Fantasy",TV-14
Le bureau des légendes,https://www.imdb.com/title/tt4063800/,8.7,16153,"Drama, Thriller",TV-MA
Boardwalk Empire,https://www.imdb.com/title/tt0979432/,8.6,209222,"Crime, Drama",TV-MA
Kimetsu no Yaiba,https://www.imdb.com/title/tt9335498/,8.6,177103,"Animation, Action, Adventure",TV-MA
El Chavo del Ocho,https://www.imdb.com/title/tt0229889/,8.7,14448,"Comedy, Family",TV-PG
Young Justice,https://www.imdb.com/title/tt1641384/,8.6,47884,"Animation, Action, Adventure",TV-PG
Yeh Meri Family,https://www.imdb.com/title/tt8595766/,8.9,26947,"Comedy, Drama, Family",TV-14
Homicide: Life on the Street,https://www.imdb.com/title/tt0106028/,8.7,15662,"Crime, Drama, Mystery",TV-14
QI,https://www.imdb.com/title/tt0380136/,8.6,34675,"Comedy, Game-Show",TV-PG
